,Latitude,Longitude,Airport,Water,Building,Green_Space,Railway_Station,Urban_Area,Distance_Nearest_Greenspace,Value_co,Value_no2,Value_o3,Value_so2,Value_ai,AQ_score,Pop_density,Greenspace_score,penalty_reward
8811,51.661544190062415,-0.0412235491917498,0,0,1,0,0,1,0.28297583085341,0.7744454315742543,0.0045534562269463,7.302912489409609,0.0287784098352898,-0.9395056265676124,0.3872055988756032,7.348103046417237,0.23150927714993239,1.171875
8812,51.66152617340256,-0.0375991611391494,0,0,1,1,0,1,0.1666756679858294,0.773346025829185,0.0044344965509204,7.304483397258587,0.02936149156112,-0.945264543573519,0.3847934788983622,7.059506893157959,0.08321898436965508,0.46875
8813,51.66150804519317,-0.0339747759776826,0,0,1,1,0,1,0.1666664364571717,0.7722861428493324,0.0041891627275832,7.313996191496838,0.0287998842481418,-0.9515557823336656,0.3779074641348344,7.183518886566163,0.08219347597631278,0.46875
8814,51.66148980543443,-0.0303503937251898,0,0,1,1,0,1,0.1666754103723386,0.7712482534534126,0.0034354091191924,7.348848467457704,0.0252387223965031,-1.0318069481956282,0.3503483012954563,7.444974422454834,0.07764587162240326,0.46875
8815,51.66147145412647,-0.0267260143995116,0,0,1,0,0,1,0.3159514872292997,0.7711797602499398,0.0038035675814656,7.3318393311095615,0.0271317402102521,-0.9949856458606184,0.3633636696397229,0.5991412401199341,0.18896651459211117,1.171875
8816,51.66145299126946,-0.0231016380184891,0,0,1,0,0,1,0.4166922373872513,0.7713841676897305,0.0043163338791486,7.311963716654425,0.0305482705393944,-0.9277967116178768,0.385587586061761,0.5991412401199341,0.2157838403708832,1.171875
8817,51.66143441686361,-0.0194772645999627,0,1,1,0,0,1,0.4704555564715352,0.7718005312426486,0.0043893233244725,7.30377771982645,0.0306560552255464,-0.9253721519887464,0.3869688619957674,0.5991412401199341,0.0,0.0
8818,51.66141573090904,-0.0158528941617726,0,1,0,0,0,1,0.4496585330839938,0.7720537774210364,0.0043470071733783,7.297057977328425,0.0296529773285311,-0.9202717942078612,0.3834012311293731,0.5991412401199341,0.0,0.0
8819,51.66139693340592,-0.0122285267217595,0,1,0,0,0,1,0.2829834182768833,0.7721251660090176,0.0043887745648815,7.296766041341272,0.0291972152566971,-0.9089237300181892,0.3840366145129926,1.7652106285095213,0.0,0.0
8820,51.66137802435441,-0.0086041622977638,0,1,0,1,0,0,0.166674634456069,0.7727481900788485,0.0042955937952681,7.296218975879546,0.0293171296688064,-0.8995726653209863,0.3838528757720628,0.8648914098739624,0.0,0.0
