,Latitude,Longitude,Airport,Water,Building,Green_Space,Railway_Station,Urban_Area,Distance_Nearest_Greenspace,Value_co,Value_no2,Value_o3,Value_so2,Value_ai,AQ_score,Pop_density,norm_Pop_density
53940,51.27639544567896,0.0848835550108504,0,1,1,1,0,0,0.16666643645718715,0.7636360753023219,0.003100895561696119,7.243701885751421,0.029883037088993362,-0.7225999354910939,0.35861986332737633,0.8511025905609131,0.013597407435773852
53941,51.27637371462385,0.0884774237641776,0,1,1,1,0,0,0.1666710729046041,0.7636185202916591,0.0030251748514513142,7.254474100743587,0.02901216586084373,-0.7165123619661289,0.3566933980328395,0.8511025905609131,0.013597407435773852
53942,51.27635187355067,0.0920712891089773,0,0,1,0,0,0,0.250004159906256,0.763104467044192,0.0029995904922354576,7.2634862740777315,0.02840600099688945,-0.6779508064478503,0.3582936394654792,0.8643565773963928,0.014142689713657935
53943,51.2763299224596,0.0956651510280432,0,1,0,1,0,0,0.16667081195418312,0.7626218635357549,0.002974311992468236,7.267958062632065,0.02795083813317487,-0.6330248862209723,0.360263705473145,0.8643565773963928,0.014142689713657935
53944,51.27630786135082,0.0992590095041684,0,1,1,1,0,0,0.1666664364571804,0.7622179304043384,0.0029552134416846146,7.262485204066973,0.027594410919989855,-0.7127326889611273,0.35139187086556495,0.8643565773963928,0.014142689713657935
53945,51.27628569022455,0.1028528645201459,0,1,1,1,0,1,0.1666664364571732,0.7618524448024521,0.002942646528614721,7.256931905688306,0.027292075543551567,-0.7425867254087891,0.34684562365860294,2.189940929412842,0.06867855608860465
53946,51.27626340908095,0.1064467160587696,0,1,1,1,0,1,0.16666643645718218,0.7616330139168298,0.002944171722453676,7.25240362633277,0.027022210723474643,-0.7609215098519435,0.3438894980246224,2.189940929412842,0.06867855608860465
53947,51.27624101792024,0.1100405641028333,0,1,1,1,0,1,0.16666643645718096,0.7613585929358281,0.002937955372475153,7.244457737143845,0.02662820300559132,-0.7727530043932622,0.3404923384017055,2.189940929412842,0.06867855608860465
53948,51.2762185167426,0.1136344086351301,0,1,1,1,0,1,0.1666664364571775,0.7615177194972034,0.0029586638624865724,7.236495669898726,0.026204042830489216,-0.7740349799020357,0.33889844413953507,2.189940929412842,0.06867855608860465
53949,51.27619590554824,0.1172282496384543,0,0,1,1,0,1,0.1666664364571802,0.7614611666815981,0.0029925148699204837,7.231195578558808,0.025833492860557635,-0.7894406339204169,0.3366590637913025,2.189940929412842,0.06867855608860465
